POPS.ELF Function Map - PS1 Emulator for PS2 (HDD version)
==========================================================================================
Generated by POPS Deep Analysis Tool

ARCHITECTURE OVERVIEW:
  - EE (Emotion Engine) MIPS R5900 binary, EABI64, MIPS-III
  - Entry point: 0x00200008
  - Code: 296KB (.text), 3.5KB VU microcode (.vutext)
  - Data: 2.75MB (.data incl. embedded IOP modules)
  - PS1 emulator with JIT recompiler

EMBEDDED IOP MODULES:
  sio2man, padman_hsync, Sound_Device_Library (libsd),
  sdr_driver, dev9, atad, hdd, pfs, IOPCD


==========================================================================================
 CDROM - 41 functions (0x0020FD18 - 0x00213E50)
==========================================================================================

  0x00228AD8  hdd_0052                                      frame=  80  size=  120  calls= 2
  0x00228B50  hdd_0053                                      frame=   0  size=   40  calls= 0
  0x00228B78  hdd_0054                                      frame=  32  size=  136  calls= 1
  0x00228C00  hdd_0055                                      frame=   0  size=    8  calls= 0
  0x00228C08  hdd_0056                                      frame=   0  size=   56  calls= 0
  0x00228C40  hdd_0057                                      frame=   0  size=   64  calls= 0
  0x00228C80  hdd_0058                                      frame=   0  size=   24  calls= 0
  0x00228C98  hdd_0059                                      frame=  16  size= 1336  calls= 0
  0x002291D0  hdd_0060                                      frame=   0  size=  968  calls= 0
  0x00229598  hdd_0061                                      frame=  96  size=  776  calls= 3
  0x002298A0  hdd_0062                                      frame= 160  size=  856  calls= 6
  0x00229BF8  hdd_0063                                      frame=4368  size= 1032  calls=10

==========================================================================================
 INTERRUPT - 16 functions (0x0020A090 - 0x0020AF68)
==========================================================================================

  0x0020A090  Interrupt_Init                                frame=   0  size=   12  calls= 0
  0x0020A09C  interrupt_0001                                frame=  16  size=   48  calls= 1
  0x0020A0CC  interrupt_0002                                frame=  16  size=   68  calls= 0
  0x0020A110  interrupt_0003                                frame=  16  size=   40  calls= 0
  0x0020A138  interrupt_0004                                frame=  16  size=   56  calls= 0
  0x0020A170  interrupt_0005                                frame=  64  size=  392  calls= 3
  0x0020A2F8  interrupt_0006                                frame=  80  size=  264  calls= 2
  0x0020A400  interrupt_0007                                frame=  80  size=  508  calls= 2
  0x0020A5FC  interrupt_0008                                frame=  80  size=  584  calls= 2
  0x0020A844  interrupt_0009                                frame=  32  size= 1004  calls= 2
  0x0020AC30  interrupt_0010                                frame=  16  size=  152  calls= 2
  0x0020ACC8  interrupt_0011                                frame=  16  size=   56  calls= 1
  0x0020AD00  interrupt_0012                                frame=  48  size=  240  calls= 8
  0x0020ADF0  interrupt_0013                                frame=  32  size=  232  calls= 4
  0x0020AED8  interrupt_0014                                frame=   0  size=   32  calls= 0
  0x0020AEF8  interrupt_0015                                frame=  32  size=  112  calls= 1

==========================================================================================
 LIBC - 114 functions (0x00240108 - 0x002489BC)
==========================================================================================

  0x00240108  libc_0000                                     frame=  32  size=   88  calls= 3
  0x00240160  libc_0001                                     frame=  32  size=   72  calls= 2
  0x002401A8  libc_0002                                     frame=  96  size=  600  calls= 2
  0x00240400  libc_0003                                     frame=   0  size=    4  calls= 0
  0x00240404  libc_0004                                     frame=  48  size= 1828  calls= 3
  0x00240B28  libc_0005                                     frame=   0  size=  148  calls= 0
  0x00240BBC  libc_0006                                     frame=   0  size=  176  calls= 0
  0x00240C6C  libc_0007                                     frame=   0  size=  260  calls= 0
  0x00240D70  libc_0008                                     frame=   0  size=  192  calls= 0
  0x00240E30  libc_0009                                     frame=  32  size=  128  calls= 2
  0x00240EB0  libc_0010                                     frame=  16  size=   80  calls= 0
  0x00240F00  libc_0011                                     frame=  96  size=   96  calls= 1
  0x00240F60  AssertionFailed                               frame= 112  size=  112  calls= 1
  0x00240FD0  libc_0013                                     frame=  32  size=   88  calls= 1
  0x00241028  libc_0014                                     frame=  16  size=  112  calls= 1
  0x00241098  libc_0015                                     frame=  32  size=  128  calls= 1
  0x00241118  libc_0016                                     frame=  32  size=  216  calls= 2
  0x002411F0  libc_0017                                     frame=  32  size=  152  calls= 1
  0x00241288  libc_0018                                     frame=  16  size=   32  calls= 0
  0x002412A8  libc_0019                                     frame=  16  size=   40  calls= 0
  0x002412D0  libc_0020                                     frame=  16  size=   32  calls= 0
  0x002412F0  libc_0021                                     frame=  16  size=   32  calls= 0
  0x00241310  libc_0022                                     frame=  32  size=   96  calls= 1
  0x00241370  libc_0023                                     frame=  16  size=   24  calls= 0
  0x00241388  libc_0024                                     frame= 192  size=  136  calls= 1
  0x00241410  libc_0025                                     frame=   0  size=    4  calls= 0
  0x00241414  libc_0026                                     frame= 192  size=  140  calls= 1
  0x002414A0  libc_0027                                     frame=   0  size=  400  calls= 0
  0x00241630  libc_0028                                     frame=   0  size=  600  calls= 0
  0x00241888  libc_0029                                     frame=   0  size=  312  calls= 0
  0x002419C0  libc_0030                                     frame=   0  size=  448  calls= 0
  0x00241B80  libc_0031                                     frame=  96  size=  568  calls= 3
  0x00241DB8  libc_0032                                     frame=  16  size=   48  calls= 0
  0x00241DE8  libc_0033                                     frame=  16  size=   72  calls= 1
  0x00241E30  libc_0034                                     frame=1152  size=  184  calls= 2
  0x00241EE8  libc_0035                                     frame=  32  size=  120  calls= 1
  0x00241F60  libc_0036                                     frame= 320  size= 3064  calls= 8  "                00000000000000000123456789abcdef"
  0x00242B58  libc_0037                                     frame=  16  size=   72  calls= 1
  0x00242BA0  libc_0038                                     frame=1152  size=  184  calls= 2
  0x00242C58  libc_0039                                     frame=  32  size=  120  calls= 1
  0x00242CD0  libc_0040                                     frame= 656  size= 5744  calls=14  "                0000000000000000Inf"
  0x00244340  libc_0041                                     frame=  96  size=  448  calls= 3
  0x00244500  libc_0042                                     frame=   0  size=   12  calls= 0
  0x0024450C  libc_0043                                     frame= 320  size=  212  calls= 0
  0x002445E0  libc_0044                                     frame=  16  size=  272  calls= 3
  0x002446F0  libc_0045                                     frame=  64  size=  560  calls= 1
  0x00244920  libc_0046                                     frame= 176  size= 4712  calls=20  "Infinity"
  0x00245B88  libc_0047                                     frame=  32  size=  280  calls= 1
  0x00245CA0  libc_0048                                     frame=   0  size=   96  calls= 0
  0x00245D00  libc_0049                                     frame=  32  size=  120  calls= 2
  0x00245D78  libc_0050                                     frame=  32  size=  248  calls= 2
  0x00245E70  libc_0051                                     frame=  16  size=   32  calls= 0
  0x00245E90  libc_0052                                     frame=  16  size=   32  calls= 0
  0x00245EB0  libc_0053                                     frame=  32  size=  144  calls= 1
  0x00245F40  libc_0054                                     frame=  32  size=  760  calls= 2
  0x00246238  libc_0055                                     frame=  48  size=  368  calls= 3
  0x002463A8  libc_0056                                     frame=  80  size=  992  calls= 4
  0x00246788  libc_0057                                     frame=  48  size=  152  calls= 0
  0x00246820  libc_0058                                     frame=  48  size=  160  calls= 1
  0x002468C0  libc_0059                                     frame=  16  size=   40  calls= 0
  0x002468E8  libc_0060                                     frame=  16  size=   32  calls= 0
  0x00246908  libc_0061                                     frame= 144  size=  344  calls= 3
  0x00246A60  libc_0062                                     frame=  16  size=   52  calls= 0
  0x00246A94  libc_0063                                     frame=   0  size=  228  calls= 0
  0x00246B78  libc_0064                                     frame=  32  size=  168  calls= 1
  0x00246C20  libc_0065                                     frame=   0  size=   48  calls= 0
  0x00246C50  libc_0066                                     frame=  48  size=  264  calls= 3
  0x00246D58  libc_0067                                     frame=  48  size=  304  calls= 2
  0x00246E88  libc_0068                                     frame=   0  size=  128  calls= 0
  0x00246F08  libc_0069                                     frame=   0  size=  192  calls= 0
  0x00246FC8  libc_0070                                     frame=  16  size=   56  calls= 1
  0x00247000  libc_0071                                     frame=  48  size=  528  calls= 1
  0x00247210  libc_0072                                     frame=  48  size=  256  calls= 4
  0x00247310  libc_0073                                     frame=  64  size=  344  calls= 2
  0x00247468  libc_0074                                     frame=   0  size=  104  calls= 0
  0x002474D0  libc_0075                                     frame=  48  size=  608  calls= 2
  0x00247730  libc_0076                                     frame=  48  size=  408  calls= 1
  0x002478C8  libc_0077                                     frame=  80  size=  392  calls= 3
  0x00247A50  libc_0078                                     frame=  48  size=  208  calls= 2
  0x00247B20  libc_0079                                     frame=  16  size=  112  calls= 1
  0x00247B90  libc_0080                                     frame=   0  size=   72  calls= 0
  0x00247BD8  libc_0081                                     frame=   0  size=   64  calls= 0
  0x00247C18  libc_0082                                     frame=  16  size=  104  calls= 1
  0x00247C80  libc_0083                                     frame=  32  size=  128  calls= 2
  0x00247D00  libc_0084                                     frame=  16  size=  104  calls= 1
  0x00247D68  libc_0085                                     frame=  16  size=   32  calls= 0
  0x00247D88  libc_0086                                     frame=  32  size=   96  calls= 1
  0x00247DE8  libc_0087                                     frame=  16  size=  184  calls= 2
  0x00247EA0  libc_0088                                     frame=  32  size=   88  calls= 1
  0x00247EF8  libc_0089                                     frame=  32  size=   96  calls= 1
  0x00247F58  libc_0090                                     frame=  32  size=   96  calls= 1
  0x00247FB8  libc_0091                                     frame=  32  size=  112  calls= 1
  0x00248028  libc_0092                                     frame=  16  size=  144  calls= 2
  0x002480B8  libc_0093                                     frame=  32  size=  168  calls= 3
  0x00248160  libc_0094                                     frame=  64  size=  128  calls= 2
  0x002481E0  libc_0095                                     frame=  64  size=  120  calls= 2
  0x00248258  libc_0096                                     frame=  16  size=   40  calls= 1
  0x00248280  libc_0097                                     frame=   0  size=   16  calls= 0
  0x00248290  libc_0098                                     frame=   0  size=    8  calls= 0
  0x00248298  libc_0099                                     frame=  64  size=  176  calls= 2
  0x00248348  libc_0100                                     frame=   0  size=    8  calls= 0
  0x00248350  libc_0101                                     frame=   0  size=   32  calls= 0
  0x00248370  libc_0102                                     frame=  16  size=   40  calls= 1
  0x00248398  libc_0103                                     frame=  16  size=   40  calls= 1
  0x002483C0  libc_0104                                     frame=  16  size=   40  calls= 1
  0x002483E8  libc_0105                                     frame=   0  size=   40  calls= 0
  0x00248410  libc_0106                                     frame=   0  size=   64  calls= 0
  0x00248450  libc_0107                                     frame=   0  size=   64  calls= 0
  0x00248490  libc_0108                                     frame=  64  size=  408  calls= 4  "TTY: receive error"
  0x00248628  libc_0109                                     frame= 112  size=  336  calls= 4
  0x00248778  libc_0110                                     frame=  96  size=  208  calls= 1
  0x00248848  libc_0111                                     frame=  48  size=  192  calls= 3
  0x00248908  libc_0112                                     frame=  64  size=  160  calls= 1
  0x002489A8  libc_0113                                     frame=   0  size=   20  calls= 0

==========================================================================================
 MAIN - 6 functions (0x00200008 - 0x00200944)
==========================================================================================

  0x00200008  _start                                        frame=   0  size=  448  calls= 3
  0x002001C8  main_0001                                     frame=   0  size=   16  calls= 0
  0x002001D8  main_0002                                     frame=  80  size=  200  calls= 4
  0x002002A0  main_0003                                     frame=  64  size=  592  calls= 2
  0x002004F0  main_0004                                     frame= 176  size= 1104  calls=20  "%s/disc/disc0"
  0x00200940  main_0005                                     frame=   0  size=    4  calls= 0

==========================================================================================
 MDEC - 48 functions (0x0020E2E0 - 0x0020FD18)
==========================================================================================

  0x0020E2E0  MDEC_Init                                     frame=  16  size=  152  calls= 2
  0x0020E378  mdec_0001                                     frame=   0  size=  120  calls= 0
  0x0020E3F0  mdec_0002                                     frame=   0  size=  120  calls= 0
  0x0020E468  mdec_0003                                     frame=   0  size=   64  calls= 0
  0x0020E4A8  mdec_0004                                     frame=  16  size=   88  calls= 1
  0x0020E500  mdec_0005                                     frame=  32  size=  244  calls= 1
  0x0020E5F4  mdec_0006                                     frame=  16  size=   68  calls= 0
  0x0020E638  mdec_0007                                     frame=  16  size=  104  calls= 2
  0x0020E6A0  mdec_0008                                     frame=  16  size=  120  calls= 1
  0x0020E718  mdec_0009                                     frame=  16  size=  152  calls= 1
  0x0020E7B0  mdec_0010                                     frame=  16  size=   76  calls= 2
  0x0020E7FC  mdec_0011                                     frame=  48  size=  620  calls= 8
  0x0020EA68  mdec_0012                                     frame=  80  size=  640  calls=12
  0x0020ECE8  mdec_0013                                     frame=  32  size=  104  calls= 2
  0x0020ED50  mdec_0014                                     frame=  32  size=  136  calls= 2
  0x0020EDD8  mdec_0015                                     frame=  32  size=  136  calls= 3
  0x0020EE60  mdec_0016                                     frame=  32  size=  256  calls= 6
  0x0020EF60  mdec_0017                                     frame=  16  size=   24  calls= 0
  0x0020EF78  mdec_0018                                     frame=  32  size=  144  calls= 2
  0x0020F008  mdec_0019                                     frame=  48  size=  280  calls= 9
  0x0020F120  mdec_0020                                     frame=  16  size=   32  calls= 1
  0x0020F140  mdec_0021                                     frame=  16  size=   32  calls= 1
  0x0020F160  mdec_0022                                     frame=  16  size=   24  calls= 0
  0x0020F178  mdec_0023                                     frame=  16  size=   48  calls= 2
  0x0020F1A8  mdec_0024                                     frame=  16  size=   80  calls= 2
  0x0020F1F8  mdec_0025                                     frame=  16  size=   56  calls= 2
  0x0020F230  mdec_0026                                     frame=  16  size=   24  calls= 0
  0x0020F248  mdec_0027                                     frame=  16  size=   40  calls= 1
  0x0020F270  mdec_0028                                     frame=  16  size=   40  calls= 1
  0x0020F298  mdec_0029                                     frame=  16  size=   56  calls= 1
  0x0020F2D0  mdec_0030                                     frame=  16  size=   72  calls= 1
  0x0020F318  mdec_0031                                     frame=  16  size=   64  calls= 1
  0x0020F358  mdec_0032                                     frame=  16  size=   48  calls= 1
  0x0020F388  mdec_0033                                     frame=  80  size=  208  calls= 5
  0x0020F458  mdec_0034                                     frame=  16  size=   40  calls= 1
  0x0020F480  mdec_0035                                     frame=  16  size=  136  calls= 1
  0x0020F508  mdec_0036                                     frame=  16  size=  104  calls= 1
  0x0020F570  mdec_0037                                     frame=  16  size=   80  calls= 2
  0x0020F5C0  mdec_0038                                     frame=  16  size=   84  calls= 2
  0x0020F614  mdec_0039                                     frame=  16  size=  140  calls= 1
  0x0020F6A0  mdec_0040                                     frame=  16  size=  112  calls= 3
  0x0020F710  mdec_0041                                     frame=  16  size=   24  calls= 0
  0x0020F728  mdec_0042                                     frame=  16  size=   24  calls= 0
  0x0020F740  mdec_0043                                     frame=  16  size=   28  calls= 0
  0x0020F75C  mdec_0044                                     frame=  32  size=  292  calls= 2
  0x0020F880  mdec_0045                                     frame=  32  size=  320  calls= 2
  0x0020F9C0  mdec_0046                                     frame=  16  size=  528  calls= 0
  0x0020FBD0  mdec_0047                                     frame=  48  size=  328  calls= 5

==========================================================================================
 MEMCARD - 2 functions (0x0020C838 - 0x0020D190)
==========================================================================================

  0x0020C838  serial_0013                                   frame= 208  size=  560  calls= 8  "pfs1:/ps1emu/card%d.bak"
  0x0020CF00  serial_0017                                   frame= 288  size=  656  calls=14  "pfs1:/ps1emu/card%d"

==========================================================================================
 MEMORY - 1 functions (0x002356C0 - 0x00235C20)
==========================================================================================

  0x002356C0  system_0050                                   frame=  64  size= 1376  calls= 3  "# TLB over flow (1)"

==========================================================================================
 PAD - 1 functions (0x002371E8 - 0x00237328)
==========================================================================================

  0x002371E8  pad_libpad                                    frame=  64  size=  320  calls= 4  "libpad: Module version mismatch "

==========================================================================================
 PSX - 21 functions (0x00200944 - 0x00201770)
==========================================================================================

  0x00200944  PlayStationInit                               frame=  16  size=  796  calls=14  "initSucceeded"
  0x00200C60  AssertionCheck                                frame=   0  size=    4  calls= 0
  0x00200C64  psx_0002                                      frame=  16  size=  172  calls=13
  0x00200D10  psx_0003                                      frame=   0  size=    8  calls= 0
  0x00200D18  psx_0004                                      frame=  16  size=   56  calls= 1
  0x00200D50  psx_0005                                      frame=   0  size=    4  calls= 0
  0x00200D54  psx_0006                                      frame=  16  size=   68  calls= 3
  0x00200D98  psx_0007                                      frame=  16  size=  152  calls= 1
  0x00200E30  psx_0008                                      frame=  32  size=  104  calls= 1
  0x00200E98  psx_0009                                      frame=  32  size=  368  calls= 1
  0x00201008  psx_0010                                      frame=   0  size=  128  calls= 0
  0x00201088  psx_0011                                      frame=   0  size=    4  calls= 0
  0x0020108C  psx_0012                                      frame=  48  size=  332  calls= 2  "event != NULL"
  0x002011D8  psx_0013                                      frame=   0  size=  104  calls= 0
  0x00201240  psx_0014                                      frame=  16  size=   88  calls= 0
  0x00201298  psx_0015                                      frame=  16  size=   48  calls= 0
  0x002012C8  psx_0016                                      frame=  16  size=  152  calls= 0
  0x00201360  psx_0017                                      frame=  16  size=  196  calls= 0
  0x00201424  psx_0018                                      frame=  16  size=   76  calls= 1
  0x00201470  psx_0019                                      frame=  80  size=  504  calls= 2
  0x00201668  psx_0020                                      frame=   0  size=  264  calls= 0

==========================================================================================
 R3000 - 59 functions (0x00201770 - 0x00204E70)
==========================================================================================

  0x00201770  R3000_Init                                    frame=   0  size=   12  calls= 0
  0x0020177C  R3000_InitHandlers                                    frame=  16  size=   96  calls= 1
  0x002017DC  R3000_ReadMemory                                    frame=  16  size=  304  calls= 0
  0x0020190C  R3000_WriteMemory                                    frame=  16  size=  256  calls= 0
  0x00201A0C  R3000_ReadIOPort                                    frame=  16  size=  368  calls= 1
  0x00201B7C  R3000_WriteIOPort                                    frame=  16  size=  332  calls= 0
  0x00201CC8  R3000_SetupIOHandlers                                    frame=   0  size=  112  calls= 0
  0x00201D38  R3000_MapAddressRange                                    frame=   0  size=   48  calls= 0
  0x00201D68  R3000_Reset                                   frame=  64  size=  416  calls= 3
  0x00201F08  R3000_MapMemory                                    frame=  32  size=  184  calls= 2
  0x00201FC0  R3000_InvalidateAllBlocks                                    frame=  48  size=  144  calls= 1
  0x00202050  R3000_InvalidateRange                                    frame=  32  size=  336  calls= 1
  0x002021A0  R3000_MarkPagesWritten                                    frame=   0  size=  184  calls= 0
  0x00202258  R3000_GetCodeCacheEntry                                    frame=   0  size=    4  calls= 0
  0x0020225C  R3000_AllocCodeBlock                                    frame=  16  size=  108  calls= 1
  0x002022C8  R3000_CompileBlock                                    frame=  48  size=  432  calls= 4
  0x00202478  R3000_GetCachePointers                                    frame=   0  size=   48  calls= 0
  0x002024A8  R3000_GetCacheBase                                    frame=   0  size=    4  calls= 0
  0x002024AC  R3000_InitCodeCache                                    frame=  16  size=   84  calls= 2
  0x00202500  R3000_AllocTranslationBuffers                                    frame=  16  size=  448  calls= 3
  0x002026C0  R3000_ExecuteBlocks                                    frame=  96  size=  776  calls= 3
  0x002029C8  R3000_HandleBranchBlock                                    frame=  32  size=   88  calls= 2
  0x00202A20  R3000_EmitDelaySlot                                    frame=  16  size=  136  calls= 1
  0x00202AA8  R3000_EmitStoreDelay                                    frame=  16  size=  112  calls= 1
  0x00202B18  R3000_HandleConditionalBranch                                    frame=  32  size=  160  calls= 4
  0x00202BB8  R3000_EmitCOP0Read                                    frame=  16  size=  112  calls= 1
  0x00202C28  R3000_EmitCOP0Write                                    frame=  16  size=   48  calls= 0
  0x00202C58  R3000_EmitLoadOp                                    frame=  16  size=  112  calls= 1
  0x00202CC8  R3000_EmitStoreOp                                    frame=  16  size=   40  calls= 0
  0x00202CF0  R3000_EmitALUOp                                    frame=  32  size=  848  calls= 1
  0x00203040  R3000_EmitBranch                                    frame=  96  size=  728  calls=11
  0x00203318  R3000_EmitJump                                    frame=  32  size=  296  calls= 8
  0x00203440  R3000_EmitJumpRegister                                    frame=  32  size=  168  calls= 4
  0x002034E8  R3000_EmitGTEDataRead                                    frame=  16  size=  104  calls= 1
  0x00203550  R3000_EmitGTEDataWrite                                    frame=  16  size=   72  calls= 1
  0x00203598  R3000_EmitGTEControlRead                                    frame=  32  size=  144  calls= 2
  0x00203628  R3000_EmitGTEControlWrite                                    frame=  96  size=  336  calls= 4
  0x00203778  R3000_EmitGTEDataReadAlt                                    frame=  16  size=  104  calls= 1
  0x002037E0  R3000_EmitSyscall                                    frame=  48  size=  240  calls= 8
  0x002038D0  R3000_EmitBreak                                    frame=  16  size=  104  calls= 3
  0x00203938  R3000_EmitCOP0Op                                    frame=  32  size=  224  calls= 5
  0x00203A18  R3000_EmitCOP0OpWrite                                    frame= 112  size=  480  calls= 5
  0x00203BF8  R3000_EmitCOP2DataReadAlt                                    frame=  16  size=   56  calls= 0
  0x00203C30  R3000_EmitExceptionReturn                                    frame=  16  size=   80  calls= 2
  0x00203C80  R3000_EmitSyscallImmediate                                    frame=  16  size=   32  calls= 0
  0x00203CA0  R3000_EmitMemoryAccess                                    frame= 144  size=  552  calls= 4
  0x00203EC8  R3000_FlushPendingStores                                    frame=  32  size=  104  calls= 1
  0x00203F30  R3000_BuildBlockDescriptor                                    frame=   0  size=  456  calls= 0
  0x002040F8  R3000_DecodeInstruction                                    frame=  80  size= 2096  calls= 2
  0x00204928  R3000_TranslateBlockRange                                    frame=  64  size=  352  calls= 2
  0x00204A88  R3000_TranslateFromPC                                    frame=  32  size=  240  calls= 0
  0x00204B78  R3000_TranslateAndCompile                                    frame=  48  size=  216  calls= 7
  0x00204C50  R3000_ExecutionLoop                                    frame=  32  size=  200  calls= 3
  0x00204D18  R3000_ClassifyAddress                                    frame=   0  size=   96  calls= 0
  0x00204D78  R3000_UpdateBlockSize                                    frame=  48  size=  136  calls= 2
  0x00204E00  R3000_SetBlockSize                                    frame=  16  size=   48  calls= 0
  0x00204E30  R3000_GetBlockSize                                    frame=   0  size=    8  calls= 0
  0x00204E38  R3000_GetCurrentBlock                                    frame=   0  size=    4  calls= 0
  0x00204E3C  R3000_ResetCompiler                                    frame=  16  size=   52  calls= 2

==========================================================================================
 SERIAL - 30 functions (0x0020BB68 - 0x0020E2E0)
==========================================================================================

  0x0020BB68  Serial_Init                                   frame=   0  size=   12  calls= 0
  0x0020BB74  serial_0001                                   frame=  16  size=   52  calls= 2
  0x0020BBA8  serial_0002                                   frame=  32  size=   88  calls= 1
  0x0020BC00  serial_0003                                   frame=   0  size=   96  calls= 0
  0x0020BC60  serial_0004                                   frame=  96  size= 1208  calls=14
  0x0020C118  serial_0005                                   frame=  32  size=  920  calls= 1
  0x0020C4B0  serial_0006                                   frame=  16  size=  256  calls= 2
  0x0020C5B0  serial_0007                                   frame=  32  size=  132  calls= 1
  0x0020C634  serial_0008                                   frame=  16  size=  188  calls= 0
  0x0020C6F0  serial_0009                                   frame=  16  size=   64  calls= 1
  0x0020C730  serial_0010                                   frame=  16  size=   32  calls= 0
  0x0020C750  serial_0011                                   frame=  32  size=  188  calls= 4
  0x0020C80C  serial_0012                                   frame=  16  size=   44  calls= 1
  0x0020CA68  serial_0013                                   frame=  16  size=  416  calls= 2
  0x0020CC08  serial_0014                                   frame=  16  size=  280  calls= 0
  0x0020CD20  serial_0015                                   frame=   0  size=    4  calls= 0
  0x0020CEA0  serial_0016                                   frame=   0  size=   96  calls= 0
  0x0020D190  serial_0017                                   frame=   0  size=  280  calls= 0
  0x0020D2A8  serial_0018                                   frame=  32  size=  272  calls= 1
  0x0020D3B8  serial_0019                                   frame= 336  size=  800  calls= 0
  0x0020D6D8  serial_0020                                   frame=  16  size=  800  calls= 0
  0x0020D9F8  serial_0021                                   frame=  48  size=  448  calls= 0
  0x0020DBB8  serial_0022                                   frame=  96  size=  624  calls= 5
  0x0020DE28  serial_0023                                   frame=  16  size=   64  calls= 1
  0x0020DE68  serial_0024                                   frame=  16  size=  132  calls= 1
  0x0020DEEC  serial_0025                                   frame=  16  size=  408  calls= 3
  0x0020E084  serial_0026                                   frame=  32  size=  356  calls= 2
  0x0020E1E8  serial_0027                                   frame=  16  size=  152  calls= 0
  0x0020E280  serial_0028                                   frame=   0  size=    4  calls= 0
  0x0020E284  serial_0029                                   frame=  16  size=   92  calls= 1

==========================================================================================
 SPU - 19 functions (0x00213E50 - 0x00215088)
==========================================================================================

  0x00213E50  SPU_Init                                      frame=   0  size=   12  calls= 0
  0x00213E5C  spu_0001                                      frame=  16  size=  172  calls= 3
  0x00213F08  spu_0002                                      frame=  80  size=  488  calls= 6
  0x002140F0  spu_0003                                      frame=  32  size=  672  calls=11
  0x00214390  spu_0004                                      frame=  16  size=  136  calls= 4
  0x00214418  spu_0005                                      frame=  16  size=   56  calls= 2
  0x00214450  spu_0006                                      frame=  16  size=   48  calls= 1
  0x00214480  spu_0007                                      frame=  32  size=  104  calls= 1
  0x002144E8  spu_0008                                      frame=   0  size=   24  calls= 0
  0x00214500  spu_0009                                      frame=  32  size=   80  calls= 1
  0x00214550  spu_0010                                      frame=   0  size=   48  calls= 0
  0x00214580  spu_0011                                      frame=   0  size=   48  calls= 0
  0x002145B0  spu_0012                                      frame=  80  size=  576  calls= 2
  0x002147F0  spu_0013                                      frame=  64  size=  152  calls= 4  "pfs:"
  0x00214888  spu_0014                                      frame=  16  size=   24  calls= 0
  0x002148A0  spu_0015                                      frame= 112  size=  152  calls= 4
  0x00214938  spu_0016                                      frame=  32  size=  168  calls= 3  "hdd0:__common"
  0x002149E0  spu_0017                                      frame=   0  size=    8  calls= 0
  0x002149E8  spu_0018                                      frame= 208  size= 1696  calls= 3  "  0x%08x: 0x%08x  "

==========================================================================================
 SYSTEM - 179 functions (0x00233068 - 0x0023A018)
==========================================================================================

  0x00233068  system_0000                                   frame= 224  size=  576  calls= 8
  0x002332A8  system_0001                                   frame= 192  size=  496  calls= 8
  0x00233498  system_0002                                   frame=  16  size=   32  calls= 1
  0x002334B8  system_0003                                   frame= 192  size=  408  calls= 7
  0x00233650  system_0004                                   frame= 224  size=  624  calls= 8
  0x002338C0  system_0005                                   frame=  16  size=   32  calls= 1
  0x002338E0  system_0006                                   frame= 192  size=  568  calls= 8
  0x00233B18  system_0007                                   frame= 224  size=  568  calls= 8
  0x00233D50  system_0008                                   frame= 192  size=  480  calls= 7
  0x00233F30  system_0009                                   frame= 208  size=  456  calls= 8
  0x002340F8  system_0010                                   frame=  48  size=  140  calls= 1
  0x00234184  system_0011                                   frame=  48  size=  108  calls= 1
  0x002341F0  system_0012                                   frame=   0  size=    4  calls= 0
  0x002341F4  system_0013                                   frame=  48  size=  124  calls= 1
  0x00234270  system_0014                                   frame=   0  size=    4  calls= 0
  0x00234274  system_0015                                   frame=  48  size=  116  calls= 1
  0x002342E8  system_0016                                   frame=  16  size=   36  calls= 1
  0x0023430C  system_0017                                   frame=  48  size=  240  calls= 1
  0x002343FC  system_0018                                   frame=  48  size=  112  calls= 1
  0x0023446C  system_0019                                   frame=  48  size=  112  calls= 1
  0x002344DC  system_0020                                   frame=  48  size=  112  calls= 1
  0x0023454C  system_0021                                   frame=  48  size=  128  calls= 1
  0x002345CC  system_0022                                   frame=  48  size=  124  calls= 1
  0x00234648  system_0023                                   frame=  80  size=  256  calls= 2
  0x00234748  system_0024                                   frame=  80  size=  144  calls= 1
  0x002347D8  system_0025                                   frame=  16  size=   56  calls= 1
  0x00234810  system_0026                                   frame= 144  size=  520  calls= 4
  0x00234A18  system_0027                                   frame= 144  size=  520  calls= 4
  0x00234C20  system_0028                                   frame=  64  size=  144  calls= 3
  0x00234CB0  system_0029                                   frame=  48  size=  160  calls= 4
  0x00234D50  system_0030                                   frame=  64  size=  144  calls= 3
  0x00234DE0  system_0031                                   frame=  32  size=   32  calls= 1
  0x00234E00  system_0032                                   frame=  16  size=   32  calls= 1
  0x00234E20  system_0033                                   frame= 128  size=  552  calls= 5
  0x00235048  system_0034                                   frame=  32  size=   32  calls= 1
  0x00235068  system_0035                                   frame=  16  size=   32  calls= 1
  0x00235088  system_0036                                   frame= 112  size=  264  calls= 4
  0x00235190  system_0037                                   frame=  16  size=   36  calls= 1
  0x002351B4  system_0038                                   frame=  16  size=   36  calls= 1
  0x002351D8  system_0039                                   frame=  96  size=  240  calls= 2
  0x002352C8  system_0040                                   frame=  80  size=  224  calls= 2
  0x002353A8  system_0041                                   frame=  48  size=  100  calls= 1
  0x0023540C  system_0042                                   frame=  32  size=  132  calls= 2
  0x00235490  system_0043                                   frame=   0  size=   72  calls= 0
  0x002354D8  system_0044                                   frame=   0  size=   16  calls= 0
  0x002354E8  system_0045                                   frame=   0  size=   16  calls= 0
  0x002354F8  system_0046                                   frame=  64  size=  232  calls= 4
  0x002355E0  system_0047                                   frame=   0  size=   16  calls= 0
